serving images at :8080
/images 324.369837ms 2025-03-15T07:18:54 map[name:[c3/DSC00312-v2.jpg]]
/images 359.248872ms 2025-03-15T07:18:54 map[name:[c3/DSC00154-v2.jpg]]
/images 376.228783ms 2025-03-15T07:18:54 map[name:[c3/DSC00162-v2.jpg]]
/images 405.939973ms 2025-03-15T07:18:54 map[name:[c3/DSC00389-v2.jpg]]
/images 414.160447ms 2025-03-15T07:18:54 map[name:[c3/DSC00672-v2.jpg]]
/images 441.549124ms 2025-03-15T07:18:54 map[name:[c3/DSC00336-v2.jpg]]
/images  462.06323ms 2025-03-15T07:18:54 map[name:[c3/DSC00231-v2.jpg]]
/images 477.487453ms 2025-03-15T07:18:54 map[name:[c3/DSC00472-v2.jpg]]
/images  487.05619ms 2025-03-15T07:18:54 map[name:[c3/DSC00544-v2.jpg]]
/images 509.520904ms 2025-03-15T07:18:54 map[name:[c3/DSC00281-v2.jpg]]
/images 524.044202ms 2025-03-15T07:18:54 map[name:[c3/DSC00099-v2.jpg]]
/images 522.668451ms 2025-03-15T07:18:54 map[name:[c3/DSC00627-v2.jpg]]
/images 522.635981ms 2025-03-15T07:18:54 map[name:[c3/DSC00261-v2.jpg]]
/images 522.612915ms 2025-03-15T07:18:54 map[name:[c3/DSC00149-v2.jpg]]
/images 537.839114ms 2025-03-15T07:18:54 map[name:[c3/DSC00428-v2.jpg]]
/images  538.13303ms 2025-03-15T07:18:54 map[name:[c3/DSC00497-v2.jpg]]
/images 543.342038ms 2025-03-15T07:18:54 map[name:[c3/DSC00174-v2.jpg]]
/images 551.388919ms 2025-03-15T07:18:54 map[name:[c3/DSC00096-v2.jpg]]
/images  588.34795ms 2025-03-15T07:18:54 map[name:[c3/DSC00029-v2.jpg]]
/images 606.232985ms 2025-03-15T07:18:54 map[name:[c3/DSC00011-v2.jpg]]
/images 620.818653ms 2025-03-15T07:18:54 map[name:[c3/DSC00045-v2.jpg]]
/list     81.756µs 2025-03-15T07:19:22 map[]
/camera   7.760079ms 2025-03-15T07:19:23 map[camera:[gf7]]
